STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-13,0.33,47,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-14,0.17,43,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-15,0.00,45,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-16,0.07,47,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-17,0.36,51,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-18,0.00,47,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-19,0.20,50,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-20,0.10,51,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-21,0.00,51,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-22,0.00,52,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-23,0.00,53,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-24,0.00,51,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-25,0.00,55,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-26,0.02,51,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-27,0.00,53,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-28,0.00,53,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-29,0.00,53,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-30,0.00,51,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-31,0.18,47,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-01,0.00,56,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-02,0.00,60,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-03,0.00,60,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-04,0.02,60,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-05,0.35,56,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-06,0.25,48,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-07,0.00,52,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-08,0.35,58,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-09,0.35,52,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-10,0.00,55,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-11,0.00,64,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-12,0.00,76,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-13,0.00,75,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-14,0.36,59,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-15,0.00,57,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-16,0.00,67,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-17,0.03,57,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-18,0.04,63,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-19,1.06,57,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-20,0.19,55,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-21,0.00,56,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-22,0.00,61,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-23,0.00,64,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-24,0.00,58,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-25,0.00,63,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-26,0.00,66,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-27,0.00,74,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-28,0.23,61,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-29,0.00,57,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-04-30,0.00,64,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-01,0.00,75,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-02,0.05,59,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-03,0.00,66,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-04,0.00,77,45
