CTD,20171201CCHSIOSEE
NUMBER_HEADERS = 14
EXPOCODE = 33RR20080204
SECT_ID = I06S
STNNBR = 97
CASTNO = 1
DATE = 20080305
TIME = 2343
LATITUDE = -68.2939
LONGITUDE = 31.1577
DEPTH =  1965
INSTRUMENT_ID = 725
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,FLUORM,FLUORM_FLAG_W,PAR,PAR_FLAG_W,SPAR,SPAR_FLAG_W,CTDNOBS,CTDETIME,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,,,SECONDS,/METER,
      80.0,2,   -1.4195,2,   34.2442,2,     321.7,2,     0.293,1,  -999.000,9,     0.005,1,        84,     597.2,    0.0544,2
      82.0,2,   -1.4768,2,   34.2601,2,     319.3,2,     0.291,1,  -999.000,9,     0.005,1,        84,     600.7,    0.0515,2
      84.0,2,   -1.5048,2,   34.2665,2,     316.5,2,     0.290,1,  -999.000,9,     0.005,1,       119,     604.9,    0.0499,2
      86.0,2,   -1.5419,2,   34.2762,2,     314.8,2,     0.290,1,  -999.000,9,     0.005,1,        96,     609.4,    0.0471,2
      88.0,2,   -1.5800,2,   34.2881,2,     314.1,2,     0.287,1,  -999.000,9,     0.005,1,        48,     612.4,    0.0446,2
      90.0,2,   -1.6020,2,   34.2942,2,     312.4,2,     0.286,1,  -999.000,9,     0.005,1,       156,     616.7,    0.0426,2
      92.0,2,   -1.6306,2,   34.3032,2,     311.2,2,     0.283,1,  -999.000,9,     0.005,1,        59,     621.2,    0.0398,2
      94.0,2,   -1.6379,2,   34.3055,2,     310.1,2,     0.284,1,  -999.000,9,     0.005,1,        96,     624.4,    0.0390,2
      96.0,2,   -1.6382,2,   34.3050,2,     309.2,2,     0.281,1,  -999.000,9,     0.005,1,       120,     628.9,    0.0390,2
      98.0,2,   -1.6385,2,   34.3048,2,     309.1,2,     0.278,1,  -999.000,9,     0.005,1,        84,     633.2,    0.0390,2
     100.0,2,   -1.6400,2,   34.3054,2,     309.1,2,     0.282,1,  -999.000,9,     0.005,1,        72,     636.4,    0.0382,2
     102.0,2,   -1.6410,2,   34.3054,2,     308.9,2,     0.282,1,  -999.000,9,     0.005,1,       120,     640.4,    0.0382,2
     104.0,2,   -1.6429,2,   34.3059,2,     308.6,2,     0.278,1,  -999.000,9,     0.005,1,        84,     644.7,    0.0374,2
     106.0,2,   -1.6441,2,   34.3065,2,     308.4,2,     0.281,1,  -999.000,9,     0.005,1,       108,     648.7,    0.0362,2
     108.0,2,   -1.6456,2,   34.3072,2,     308.2,2,     0.277,1,  -999.000,9,     0.005,1,        60,     652.2,    0.0362,2
     110.0,2,   -1.6468,2,   34.3070,2,     308.0,2,     0.277,1,  -999.000,9,     0.005,1,       120,     656.3,    0.0354,2
     112.0,2,   -1.6468,2,   34.3097,2,     308.0,2,     0.279,1,  -999.000,9,     0.005,1,        72,     660.4,    0.0354,2
     114.0,2,   -1.6467,2,   34.3097,2,     308.1,2,     0.276,1,  -999.000,9,     0.005,1,       120,     664.4,    0.0345,2
     116.0,2,   -1.6479,2,   34.3106,2,     307.8,2,     0.273,1,  -999.000,9,     0.005,1,        60,     668.2,    0.0337,2
     118.0,2,   -1.6481,2,   34.3118,2,     307.4,2,     0.268,1,  -999.000,9,     0.005,1,       132,     672.2,    0.0309,2
     120.0,2,   -1.6532,2,   34.3151,2,     306.8,2,     0.264,1,  -999.000,9,     0.005,1,        84,     676.7,    0.0273,2
     122.0,2,   -1.6488,2,   34.3167,2,     306.1,2,     0.266,1,  -999.000,9,     0.005,1,        60,     679.7,    0.0273,2
     124.0,2,   -1.6489,2,   34.3166,2,     305.6,2,     0.266,1,  -999.000,9,     0.005,1,        95,     683.7,    0.0273,2
     126.0,2,   -1.6477,2,   34.3171,2,     305.3,2,     0.262,1,  -999.000,9,     0.005,1,        34,     688.7,    0.0273,2
     128.0,2,   -1.6471,2,   34.3175,2,     305.3,2,     0.265,1,  -999.000,9,     0.005,1,        71,     690.9,    0.0273,2
     130.0,2,   -1.6505,2,   34.3172,2,     305.4,2,     0.263,1,  -999.000,9,     0.005,1,        96,     696.0,    0.0257,2
     132.0,2,   -1.6417,2,   34.3249,2,     305.3,2,     0.265,1,  -999.000,9,     0.005,1,        60,     700.2,    0.0273,2
     134.0,2,   -1.6426,2,   34.3266,2,     305.3,2,     0.266,1,  -999.000,9,     0.005,1,       132,     704.2,    0.0285,2
